City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,tuatapere,-46.1333,167.6833,13.08,53,42,3.29,NZ,1670295885
137,moron,-34.6534,-58.6198,28.94,53,0,3.82,AR,1670295886
138,tura,25.5198,90.2201,21.16,63,0,0.6,IN,1670295886
139,namibe,-15.1961,12.1522,19.92,82,82,2.34,AO,1670295886
140,kirakira,-10.4544,161.9205,29.56,70,100,3.06,SB,1670295716
141,buritis,-15.6178,-46.4233,20.62,95,100,1.06,BR,1670295888
142,upernavik,72.7868,-56.1549,-2.1,62,74,4.2,GL,1670295888
143,coahuayana,18.7333,-103.6833,23.77,90,7,0.72,MX,1670295889
144,ivanteyevka,55.9711,37.9208,-9.69,87,100,3.14,RU,1670295644
145,oudtshoorn,-33.5907,22.2014,12.85,87,100,0.7,ZA,1670295890
146,hambantota,6.1241,81.1185,24.19,100,40,1.03,LK,1670295890
147,salalah,17.0151,54.0924,22.05,56,20,2.57,OM,1670295889
148,jiayuguan,39.8167,98.3,-5.99,63,89,0.94,CN,1670295891
149,talnakh,69.4865,88.3972,-3.77,96,100,3.78,RU,1670295891
150,waitati,-45.75,170.5667,11.0,71,96,3.99,NZ,1670295892
151,dalmeny,52.3334,-106.7679,-21.83,84,75,1.54,CA,1670295892
152,torbay,47.6666,-52.7314,4.31,96,100,2.06,CA,1670295892
153,luganville,-15.5333,167.1667,30.1,58,75,3.46,VU,1670295893
154,san quintin,30.4833,-115.95,15.36,73,0,7.13,MX,1670295893
155,luanda,-8.8368,13.2343,24.08,83,100,2.96,AO,1670295894
156,geraldton,-28.7667,114.6,25.23,53,0,9.77,AU,1670295894
157,port lincoln,-34.7333,135.8667,18.91,58,96,4.26,AU,1670295639
158,longyearbyen,78.2186,15.6401,-14.09,61,40,7.2,SJ,1670295776
159,dongsheng,39.8161,109.9776,-5.96,32,5,2.07,CN,1670295799
160,maragogi,-9.0122,-35.2225,24.0,87,5,3.58,BR,1670295895
161,nioro,13.35,-15.75,22.23,57,5,2.72,GM,1670295896
162,port moresby,-9.4431,147.1797,29.69,65,91,5.23,PG,1670295896
163,lichinga,-13.3128,35.2406,17.02,75,100,2.29,MZ,1670295897
164,mehamn,71.0357,27.8492,1.97,93,75,4.12,NO,1670295897
165,bajil,15.0584,43.2851,23.13,76,3,1.33,YE,1670295898
166,zavyalovo,54.5053,82.4484,-19.2,95,89,2.68,RU,1670295899
167,lebu,-37.6167,-73.65,14.03,90,8,1.28,CL,1670295899
168,narsaq,60.9167,-46.05,7.12,71,99,5.76,GL,1670295899
169,timra,62.487,17.3257,-0.18,100,11,1.03,SE,1670295900
170,faanui,-16.4833,-151.75,26.66,75,20,7.19,PF,1670295900
171,hobara,37.8167,140.55,4.51,77,100,0.61,JP,1670295901
172,colgong,25.2667,87.2167,18.24,43,0,3.35,IN,1670295901
173,dingle,10.9995,122.6711,28.6,72,34,6.06,PH,1670295902
174,teguise,29.0605,-13.564,15.12,94,20,0.0,ES,1670295902
175,airai,-8.9266,125.4092,26.17,31,48,1.09,TL,1670295903
176,bontang,0.1333,117.5,28.43,72,97,1.4,ID,1670295648
177,taltal,-25.4,-70.4833,17.53,81,30,0.5,CL,1670295640
178,jurado,7.1053,-77.7641,23.44,92,31,1.15,CO,1670295904
179,ouesso,1.6136,16.0517,21.38,91,97,0.89,CG,1670295906
180,saint anthony,45.0205,-93.218,-4.92,61,75,2.57,US,1670295641
181,bengkulu,-3.8004,102.2655,27.56,71,100,1.29,ID,1670295907
182,galle,6.0367,80.217,25.72,80,100,1.94,LK,1670295908
183,mayor pablo lagerenza,-19.9309,-60.7718,24.87,70,78,2.42,PY,1670295909
184,ugoofaaru,5.6667,73.0,26.88,77,100,4.51,MV,1670295909
185,baykit,61.67,96.37,-16.06,96,90,2.73,RU,1670295910
186,toktogul,41.8708,72.9402,-1.88,94,100,1.47,KG,1670295910
187,topeka,39.0483,-95.678,5.5,69,0,2.57,US,1670295656
188,esperance,-33.8667,121.9,18.46,71,84,7.19,AU,1670295911
189,constitucion,-35.3333,-72.4167,13.45,75,0,3.78,CL,1670295744
190,shizilu,35.1711,118.8289,6.32,35,4,2.49,CN,1670295911
191,richards bay,-28.783,32.0377,19.88,82,98,4.15,ZA,1670295912
192,cabinda,-5.55,12.2,25.7,88,100,2.57,AO,1670295913
193,tanga,-5.0667,39.1,23.81,89,100,3.06,TZ,1670295914
194,prince rupert,54.3161,-130.3201,0.89,83,53,2.93,CA,1670295639
195,abeche,13.8292,20.8324,20.3,21,1,6.53,TD,1670295915
196,payo,-3.7508,103.6372,23.94,95,99,0.21,ID,1670295915
197,diego de almagro,-26.3667,-70.05,18.64,39,0,0.66,CL,1670295916
198,severo-kurilsk,50.6789,156.125,-3.51,76,88,7.04,RU,1670295412
199,phonhong,18.5007,102.4166,23.84,62,68,0.39,LA,1670295916
200,isangel,-19.55,169.2667,29.01,71,84,2.58,VU,1670295917
201,kahului,20.8947,-156.47,27.2,81,90,0.45,US,1670295522
202,acajutla,13.5928,-89.8275,24.73,71,27,2.54,SV,1670295918
203,ossora,59.2353,163.0719,-14.51,87,9,5.54,RU,1670295918
204,puerto escondido,15.85,-97.0667,24.86,67,0,1.81,MX,1670295508
205,sur,22.5667,59.5289,22.48,61,0,1.35,OM,1670295919
206,yumen,40.2833,97.2,-7.35,82,99,0.27,CN,1670295919
207,methala,10.2166,76.2166,25.0,73,100,1.43,IN,1670295920
208,lima,-12.0432,-77.0282,18.83,81,100,2.42,PE,1670295811
209,gazli,40.1333,63.45,-8.02,56,6,1.4,UZ,1670295921
210,chokurdakh,70.6333,147.9167,-40.72,100,42,1.25,RU,1670295921
211,luderitz,-26.6481,15.1594,14.68,76,66,8.08,NA,1670295644
212,adrar,20.5022,-10.0711,22.29,30,30,1.08,MR,1670295922
213,namatanai,-3.6667,152.4333,28.97,70,84,4.17,PG,1670295923
214,sinnamary,5.3833,-52.95,24.88,90,86,4.03,GF,1670295679
215,caratinga,-19.7897,-42.1392,18.56,95,100,1.53,BR,1670295923
216,buchanan,5.8808,-10.0467,25.06,88,98,1.25,LR,1670295924
217,korla,41.7597,86.1469,-3.49,39,100,0.75,CN,1670295924
218,ancud,-41.8697,-73.8203,11.96,96,61,1.38,CL,1670295925
219,hay river,60.8156,-115.7999,-28.41,99,100,3.73,CA,1670295926
220,kapit,2.0167,112.9333,31.38,60,99,0.43,MY,1670295926
221,barinas,8.6226,-70.2075,24.49,71,87,1.41,VE,1670295741
222,altamira,-3.2033,-52.2064,21.77,94,99,1.04,BR,1670295771
223,lata,40.1629,-8.3327,11.15,92,100,0.57,PT,1670295927
224,uyemskiy,64.4743,40.8524,-3.97,100,100,3.0,RU,1670295927
225,atbasar,51.8,68.3333,-25.39,95,82,2.02,KZ,1670295928
226,karratha,-20.7377,116.8463,36.19,25,7,6.02,AU,1670295928
227,laguna,38.421,-121.4238,12.25,83,0,2.57,US,1670295929
228,kutum,14.2,24.6667,13.62,32,0,5.56,SD,1670295930
229,cherskiy,68.75,161.3,-22.14,90,100,2.0,RU,1670295930
230,bud,39.447,-86.1758,6.62,92,100,2.56,US,1670295931
231,san patricio,28.017,-97.5169,22.13,86,53,5.55,US,1670295931
232,leningradskiy,69.3833,178.4167,-22.62,90,87,2.25,RU,1670295932
233,tyup,42.7276,78.3648,-5.78,78,100,2.41,KG,1670295932
234,mecca,21.4267,39.8261,22.92,77,0,1.32,SA,1670295926
235,vardo,70.3705,31.1107,-1.01,86,75,8.75,NO,1670295933
236,phalombe,-15.8064,35.6507,22.14,75,59,1.05,MW,1670295934
237,nacogdoches,31.6002,-94.6335,21.8,97,0,3.6,US,1670295934
238,tashla,51.7716,52.7427,-13.87,86,11,2.63,RU,1670295935
239,beeville,28.4008,-97.7483,21.46,94,74,2.57,US,1670295651
240,svetlogorsk,52.6333,29.7333,-9.06,91,93,4.32,BY,1670295935
241,nynashamn,58.9034,17.9479,-2.69,79,100,3.56,SE,1670295936
242,avera,33.194,-82.5271,12.43,98,100,4.16,US,1670295936
243,pelym,61.0108,61.9978,-15.91,98,98,1.75,RU,1670295937
244,barabinsk,55.3571,78.357,-25.53,97,31,1.04,RU,1670295937
245,chupa,66.27,33.0549,-3.2,86,100,5.69,RU,1670295938
246,jackson,42.4165,-122.8345,6.69,82,89,0.04,US,1670295639
247,sept-iles,50.2001,-66.3821,2.29,80,100,3.09,CA,1670295893
248,de-kastri,51.4667,140.7833,-11.41,66,24,1.88,RU,1670295939
249,biak,-0.9131,122.8766,28.74,59,99,2.7,ID,1670295940
250,samarai,-10.6167,150.6667,28.87,67,88,3.85,PG,1670295940
251,kaitangata,-46.2817,169.8464,13.96,49,27,6.25,NZ,1670295941
252,flin flon,54.7682,-101.865,-24.42,93,100,2.43,CA,1670295868
253,ahipara,-35.1667,173.1667,17.7,88,100,3.27,NZ,1670295941
254,tautira,-17.7333,-149.15,26.19,78,14,6.6,PF,1670295695
255,samarinda,-0.5,117.15,27.46,82,100,0.12,ID,1670295804
256,santa maria del oro,25.9333,-105.3667,17.23,41,77,1.39,MX,1670295942
257,rudbar,30.15,62.6,6.39,48,11,1.48,AF,1670295942
258,bathsheba,13.2167,-59.5167,22.81,95,20,2.06,BB,1670295943
259,cuxhaven,53.8718,8.6909,3.31,100,75,4.12,DE,1670295911
260,mayo,38.8876,-76.5119,5.63,90,0,2.06,US,1670295944
261,praia,14.9215,-23.5087,20.3,77,75,3.09,CV,1670295944
262,kismayo,-0.3582,42.5454,25.86,79,11,4.2,SO,1670295944
